date,description
"March 30, 2025 03:11 PM",Unsecured DoorAn officer found the new umpire locker room at Miller Field unlocked. Inside the locker room were the umpires' uniforms and other personal items for the Saturday games. The officer locked and secured the doors for the night.
"March 30, 2025 03:11 PM","TrespassingBYU Police and Provo Police responded to the SAB after surveillance cameras captured a couple of males taking items and entering offices. The officers conducted a search of the building, and the suspects were later seen on camera leaving. The two individuals were later contacted by investigators and cited for criminal trespass."
"March 30, 2025 03:11 PM","Lost PropertyA complainant who attended the alumni football game at Lavell Edwards Stadium yesterday lost his wallet and asked for assistance in searching for it. When the officer arrived, the stadium was open. The officer escorted the complainant into the stadium and located the wallet in the lost and found inside the stadium office. The wallet contained the complainant's ID, and once it was confirmed that it belonged to him, the wallet was returned."
"March 30, 2025 03:11 PM","MedicalA BYU student injured his knee while playing basketball in the Smith Field House. Although Provo Medical responded, he chose to have his friends drive him for medical treatment."
"March 30, 2025 03:11 PM",MedicalA student sprained his ankle during an intramural soccer game. Provo Fire examined the injury and released him at the scene. It was a very minor injury.
"March 30, 2025 03:11 PM","Sick PersonThe officer and Provo EMS were dispatched to Wymount Terrace in response to a complaint about a sick female. Upon arrival, the officer found that Provo EMS was already on the scene. Provo Fire indicated that police assistance wasn’t needed."
"March 30, 2025 03:11 PM","AccidentA motorist hit a parked car in Lot 49, causing minor scuffing. The motorist needed assistance in obtaining the owner's information to address the damage. The officer was able to provide the complainant with the name and phone number of the parked car's owner. The officer later confirmed that both parties had contacted each other."
"March 30, 2025 03:11 PM","Welfare CheckPolice officers were dispatched to the Wilkinson Student Center for a welfare check after a caller reported overhearing a concerning conversation between a male and another party on the phone. The caller also noted that a female was with the male. Concerned about the nature of the conversation, the officers contacted the couple to discuss what had been said. No criminal activity was discovered, and the couple was found to be safe."
"March 29, 2025 10:15 AM","Suspicious PersonAn officer responded to Heritage Building 8 regarding a report of a suspicious person. A concerned individual reported being approached by a male wearing a dark hat and a tan or orange hoodie, who asked if they lived in the building. The complainant replied ""no"" and left the area. They thought the male appeared to be older than a typical student, estimating his age to be around 25. The officer checked the area but did not find anyone matching the description."
"March 29, 2025 10:15 AM","MedicalAn officer and BYU EMS were dispatched to a report of a cut finger at the engineering building. The injury had resulted from a previous skateboard accident, and the complainant requested EMS to apply a new dressing over the wound on his hand. The police response was canceled."
"March 29, 2025 10:15 AM","Lost PropertyAn officer responded to an apartment complex in Provo where a BYU student had lost her Apple AirPods, which were showing at the location. The officer began knocking on the residence doors when the owner of the lost property received a phone call regarding her AirPods. The AirPods were recovered, and no further action was needed."
"March 29, 2025 10:15 AM","AccidentA complainant went to her car, which was parked in lot 37, and found a note from someone who had scratched it. The note included the person's phone number but did not provide a name. The complainant's husband called the number, and the person requested that they call back later, as she was taking an exam. The complainant felt she needed a claim number for her insurance. The officer provided her with a case number and advised her to contact the person who left the note later."
"March 29, 2025 10:15 AM",MedicalProvo Fire and BYU police responded to North University Field. The patient had a wrist injury with a visible deformity. EMTs treated and evaluated the patient before releasing them at the scene. The patient planned to go to urgent care later.
"March 29, 2025 10:15 AM",MedicalEMS and BYU Police responded to the Indoor Practice Facility for a report of an injured player. The patient reported having a shoulder injury with a visible deformity. The patient was treated and evaluated by EMTs before being released. The patient was not transported to the hospital.
"March 29, 2025 10:15 AM","MedicalAn officer at the BYU women's softball game provided first aid to an elderly spectator who was struck in the head by a softball. Provo and BYU EMS responded, providing further care and treating the spectator before releasing them at the stadium."
"March 28, 2025 09:50 AM","Medical – Chest PainOfficers and Provo Fire Paramedics were dispatched to the Heating Plant following a report of a male experiencing a potential heart attack. The paramedics arrived and transported the male to the hospital. Officers called the on-call heating plant employee, who responded to take control of the plant. Additionally, officers contacted the individual’s wife at his request."
"March 28, 2025 09:50 AM","Accident – Hit & RunAn officer responded to Wyview Park in response to a hit-and-run complaint. The reporting party stated that when she checked her vehicle this morning, she noticed damage to her rear passenger tire and fender. Dispatch reviewed the camera footage, but no recordings captured that area."
"March 28, 2025 09:50 AM","AccidentThe officer responded to the parking lot north of the music building for a traffic accident. A motorist was pulling into a parking space when they hit a parked car. The officer met with both the driver and the owner of the parked car, and they expressed a desire to exchange information without having a police report completed."
"March 28, 2025 09:50 AM","Criminal MischiefOn March 27, 2025, at 11:00 AM, officers were called to the Music building following a report of feces found in a fourth-floor restroom. Building Care staff had discovered an overflowing trash can filled with tissues and feces earlier that morning around 8:00 AM, indicating misuse of the single-occupancy facility. The incident was reported to the BYU police three hours later when staff noticed a suspicious individual in the building; however, the suspect left before the officers arrived. Due to the restroom's private nature, no witnesses could identify the person responsible for the mess, which had already been cleaned up prior to the officers' arrival."
"March 28, 2025 09:50 AM","Sick PersonOfficer and BYU EMS responded to the Joseph F. Smith building on a report of a female who fainted. After being treated and observed by BYU EMS, the patient was released."
"March 28, 2025 09:50 AM","MedicalAn officer responded to a medical call at the Joseph F. Smith building concerning a case of anxiety. BYU EMS attended to the patient, who was accompanied by a friend. The patient declined transportation to a hospital and left with her friend. No further action was required."
"March 28, 2025 09:50 AM",MedicalBYU EMS and BYU Police responded to the Indoor Practice Field for a report of a female player who had injured her knee. The patient did not require transport to the hospital. No further actions taken.
